Protein	10Y_1	10Y_2	4Y_1	4Y_2	1Y_1	1Y_2
P02829	4687830	4482290	2153360	2101750	541933	527407
P02992	772975	771963	361833	365079	99312.3	105458
P02994	6111690	6060060	3517150	3340350	819114	792184
P03871	48625.3	36386	20259	22290.7	5433.71	6115.3
P03872	47204	38666.9	21472	19202.5	4584.78	4724.59
P03886		2747.91	1742.2	3140.84	1991.68	1585.15
P03962	15128.3	14228.6	13059.1	15052.4	20456.4	14296.9
P03965	227859	209246	91011.5	90623.4	25665.5	24878.9
P04004	2495.27	4751.73	5030.24	2936.36	4068.16	5112.88
P04037	14551.2	24442.7	8778.52	13473.1	3511.31	3289.57
P04039		7656.55				
P04040	34167.3	31187	35484.5	37072.8	41467	43617
P04046	159982	155792	83683.5	79590.9	15642.7	19812.7
P04049	29527.2	23844.7	27105.2	32481.1	27109	25897.9
P04050	83772.3	84477.7	39017.2	38174.1	9704.15	11104.5
P04051	92898.1	78495.4	40999.4	48164.1	19204.6	20864.8
P04062	50284.9	48431	46867.3	51785.5	45031.6	49594.6
P04066	38942.2	38604.8	36348.7	40336	40574.2	40311.9
P04075	1677350	1562890	1762790	1782100	1666870	1709850
P04076	44476.3	45668.9	20331.8	20343.7	5815.66	5301.77
P04079	210838	191773	84739.1	90170.9	28802.4	31229.5
P04080	499800	428562	615998	570245	589382	589473
P04083	10042	9632.29	10332.9	11387.9	10656.1	9009.33
P04114	105863	118911	103625	111957	108081	125151
P04147	649439	637345	293089	299073	66604.5	67957
P04150	6453.24	5454.78	8538.52	7648.1	7936.79	7971.04
P04156	2063.21	3809.22	6045.88	2893.3	2323.63	3934.93
P04161	31596.4	31742.8	16887.6	14803.9	3828.61	4508.71
P04179	184656	175640	215414	212294	220219	207406
P04181	524077	460896	565744	578519	651841	622326
P04183	17199.6	22082.9	32144.1	26645.5	25442.1	27920.7
P04259	1395360	1128830	980683	970927	1838710	1563380
P04264	3990750	3664370	3208890	3227180	3908800	3743450
P04350	1741810	1657710	1834340	1845220	1666590	1527890
P04406	2145040	2174180	2364510	2418060	2310380	2241520
P04424	3316.23	3765.96	4352.79	3030.82	4360.9	4167.63
P04439	15751.4	12477.6	14420.8	15262.9	16069.2	12394.1
P04449	978347	731508	483079	456560	77539.5	93458.1
P04456	2401130	2217910	1328020	1418700	395407	375316
P04632	67983.4	60858.1	71346.4	71541	64297.6	59437.2
P04637	44120.5	44468.5	50862.5	50392.6	48736	45041.3
P04650	450451	407501	305377	298789	95176.9	69405.5
P04710	43150.8	46780.6	19322.1	22328.2	7169.67	7860.01
P04786	16700.6	16071	6658.87	7417.9	3214.65	
P04792	34907.3	31814.6	39768.9	36205.7	32768.2	31280.4
P04801	591114	568803	262362	260436	57620.6	60096.1
P04802	566822	546806	233125	236956	55947.7	56152.1
P04803	7238.01	3728.24	2523.94			
P04806	798939	812218	373280	328862	91571.3	79177.3
P04807	2652720	2617440	1204760	1144190	260597	265664
P04818	21592.5	23836.2	26825.6	24820.2	28765.5	30700
P04819	13984.9	13147	7129.49	6415.71	1929.77	2586.28
P04821	97242.6	96445.6	48617.1	50474.7	2992.5	9183.67
P04840	898031	864526	380053	380819	79024.8	80874.7
P04843	223145	213499	237798	236286	229159	223539
P04844	109846	99748.5	121083	120271	120299	121397
P04899	29881.2	24777.4	26436.2	27765.2	22802.3	24905.9
P04911	605018	879774	141397	153224		
P04920	9983.96	8202.02	10358.5	9307.66	11281	10495.9
P04921	603.869	1514.22	1557.17	1076.49	784.083	150.666
P05023	208999	199637	224074	221249	214675	215800
P05026	40288.3	38731.6	44428.2	45727.9	49405.3	50903.7
P05030	1614360	1429210	713006	697738	172596	168934
P05066	1391.98	1584.32				
P05067	5468.99	4511.34	3924.15	4234.67	4842.82	3784.15
P05089	7607.41	4754.14	5309.98	4391.59	7635.41	8409.38
P05091	167015	167930	180021	178958	158358	160126
P05109	9561.42	9569.36	36280.9	38545.9	8724.65	7104.22
P05114	30161.8	32204.5	52605.2	38549.3	30982.7	40329.6
P05141	229718	243943	238218	214169	180405	156149
P05161	1428.19	1675.28	1722.16	1162.87	1819.24	2194.22
P05165	11355.2	10337.9	10807.9	12618.3	10391.3	10786
P05166	28095.2	26418	20344.8	26488.9	25434.1	27214.9
P05198	221205	224648	241232	231061	213673	220434
P05204	1510.02	3146	6272.7	4724.88	2019.68	4620.1
P05317	3813580	3764080	1826130	1776090	443454	439450
P05318	1211740	1318820	501078	462406	39601.6	30824.6
P05319	2973820	2753150	1541920	1500700	286540	282270
P05362	97329.4	107806	105132	90986.2	78100	68952.2
P05373	143808	126470	49807.3	60140.1	12820.5	12261.5
P05374	31792.4	25546.8	11033.8	12725.4	4119.99	4750.11
P05375	8879.43	9319.77	5327.66	5389.4	1789.17	1674.19
P05386	1264080	1238350	1063320	893141	637630	696285
P05387	1315040	1174190	1535910	1456720	1221160	1187790
P05388	766630	775223	976372	1006390	797037	730868
P05412	10401	11599.6	8944.21	11429.5	8912.08	10104.3
P05423	28552.6	25541	31948.4	33876	31467.3	31361.2
P05453	257732	242301	105228	109465	28897.3	26031.7
P05455	494988	444065	573767	574851	581202	574730
P05459	13491.8	7010.43		8992.78		
P05556	44649.6	40324.5	50307.3	48510.1	37738.4	37072.2
P05626	35209.3	35273.4	17366.4	16750.1	4033.98	3264.28
P05694	673779	646268	275585	278794	62104.1	62392.3
P05737	2316410	1692610	1290170	1200380	326659	312462
P05738	1214070	1111400	549703	526044	114453	105879
P05739	1992860	1672280	929935	932608	193212	198203
P05740	1248570	1420350	644629	598744	67496.6	72443.3
P05743	1994500	1682960	1060930	1082570	186166	189519
P05744	1213460	1085270	530658	517212	121611	106531
P05745	3014970	2728780	1486510	1525620	308554	321558
P05747	30547.5	40228	35771	37191.7		
P05748	3796190	3673610	1756380	1770670	462490	455269
P05749	1464430	1370340	724627	728953	164968	164592
P05750	3165760	3067560	1520760	1440000	350169	359149
P05755	4582880	4482060	2129060	2119410	440737	436139
P05756	3321870	3403460	1553220	1487940	331206	295265
P05759	2552750	2390930	2173540	2227120	574963	544420
P05783	13691	12825.1	5091.5	6671.25	5311.21	6875.72
P05787	556595	531540	596909	541981	547158	546957
P05976	6749.06	1910.09	13042.3	7896.08	9642.45	9847.03
